LOCUS_TAG,p_vals,GENE
mgrB,0,mgrB CDS
KP0228_04079,3.405704555129452e-4,phoQ CDS
KP0228_00648,8.08854831843342e-4,Putative multidrug export ATP-binding/permease protein CDS
KP0228_00649,8.08854831843342e-4,irtA CDS
KP0228_00654,8.08854831843342e-4,pikAV 1 CDS
KP0228_00655,8.08854831843342e-4,dhbE CDS
KP0228_00895,8.08854831843342e-4,adrB 2 CDS
KP0228_03346,8.08854831843342e-4,manP CDS
KP0228_03436,8.08854831843342e-4,oxyR 4 CDS
KP0228_00041,0.004214559386973127,catB CDS
KP0228_00186,0.004214559386973127,glpR 1 CDS
KP0228_00289,0.004214559386973127,putative ABC transporter permease protein CDS
KP0228_00302,0.004214559386973127,sufD CDS
KP0228_00304,0.004214559386973127,sufB CDS
KP0228_00441,0.004214559386973127,oprF 1 CDS
KP0228_00463,0.004214559386973127,tdcB CDS
KP0228_00475,0.004214559386973127,ldcA CDS
KP0228_00519,0.004214559386973127,pqiB 1 CDS
KP0228_00552,0.004214559386973127,hypothetical protein CDS
KP0228_00560,0.004214559386973127,uidB 1 CDS
KP0228_00563,0.004214559386973127,otsB CDS
KP0228_00651,0.004214559386973127,angR CDS
KP0228_00652,0.004214559386973127,ppsE 1 CDS
KP0228_00770,0.004214559386973127,hisI CDS
KP0228_00822,0.004214559386973127,oppD 2 CDS
KP0228_00823,0.004214559386973127,ddpC 2 CDS
KP0228_00922,0.004214559386973127,ompC CDS
KP0228_00926,0.004214559386973127,gyrA CDS
KP0228_01025,0.004214559386973127,yfeO CDS
KP0228_01205,0.004214559386973127,yfiN CDS
KP0228_01238,0.004214559386973127,lepB CDS
KP0228_01499,0.004214559386973127,barA CDS
KP0228_01633,0.004214559386973127,hypothetical protein CDS
KP0228_01647,0.004214559386973127,xerC 1 CDS
KP0228_01884,0.004214559386973127,ureC CDS
KP0228_02357,0.004214559386973127,hypothetical protein CDS
KP0228_02650,0.004214559386973127,cpxA CDS
KP0228_02723,0.004214559386973127,ydjE 1 CDS
KP0228_02743,0.004214559386973127,ydjZ 2 CDS
KP0228_03132,0.004214559386973127,fccA CDS
KP0228_03199,0.004214559386973127,lacZ 1 CDS
KP0228_03323,0.004214559386973127,dctD CDS
KP0228_03408,0.004214559386973127,hypothetical protein CDS
KP0228_03434,0.004214559386973127,hypothetical protein CDS
KP0228_03718,0.004214559386973127,basS (pmrB) CDS
KP0228_03737,0.004214559386973127,perR 3 CDS
KP0228_03875,0.004214559386973127,macB CDS
KP0228_03950,0.004214559386973127,helD CDS
KP0228_04033,0.004214559386973127,putative transporter CDS
KP0228_04298,0.004214559386973127,citC CDS
KP0228_04302,0.004214559386973127,citG 2 CDS
KP0228_04308,0.004214559386973127,kefC 2 CDS
KP0228_04889,0.004214559386973127,pldB CDS
KP0228_04932,0.004214559386973127,rpoB CDS
KP0228_04963,0.004214559386973127,aceB CDS
KP0228_05089,0.004214559386973127,pgaA CDS
KP0228_05211,0.004214559386973127,licR CDS
KP0228_00001,0.021541081311196253,hypothetical protein CDS
KP0228_00009,0.021541081311196253,yghA CDS
KP0228_00020,0.021541081311196253,gsiB 1 CDS
KP0228_00026,0.021541081311196253,ydhP 1 CDS
KP0228_00029,0.021541081311196253,hypothetical protein CDS
KP0228_00034,0.021541081311196253,yddG CDS
KP0228_00036,0.021541081311196253,benC CDS
KP0228_00037,0.021541081311196253,cbdB CDS
KP0228_00043,0.021541081311196253,smvA CDS
KP0228_00045,0.021541081311196253,narU CDS
KP0228_00049,0.021541081311196253,narV CDS
KP0228_00050,0.021541081311196253,nhoA CDS
KP0228_00052,0.021541081311196253,fbpA CDS
KP0228_00058,0.021541081311196253,scrY 1 CDS
KP0228_00064,0.021541081311196253,hypothetical protein CDS
KP0228_00073,0.021541081311196253,orfC CDS
KP0228_00076,0.021541081311196253,hypothetical protein CDS
KP0228_00077,0.021541081311196253,rihA CDS
KP0228_00083,0.021541081311196253,dppA 1 CDS
KP0228_00089,0.021541081311196253,prr CDS
KP0228_00097,0.021541081311196253,cydB 1 CDS
KP0228_00107,0.021541081311196253,tehB 1 CDS
KP0228_00117,0.021541081311196253,gbpR 1 CDS
KP0228_00119,0.021541081311196253,frmA 1 CDS
KP0228_00134,0.021541081311196253,rsxD CDS
KP0228_00138,0.021541081311196253,hypothetical protein CDS
KP0228_00147,0.021541081311196253,ycdT 1 CDS
KP0228_00158,0.021541081311196253,rnt CDS
KP0228_00161,0.021541081311196253,soxS 1 CDS
KP0228_00163,0.021541081311196253,ydhP 2 CDS
KP0228_00166,0.021541081311196253,yahB CDS
KP0228_00179,0.021541081311196253,gloB 1 CDS
KP0228_00181,0.021541081311196253,hypothetical protein CDS
KP0228_00189,0.021541081311196253,appA 1 CDS
KP0228_00192,0.021541081311196253,ddpD CDS
KP0228_00194,0.021541081311196253,hypothetical protein CDS
KP0228_00202,0.021541081311196253,cynR 1 CDS
KP0228_00209,0.021541081311196253,ribX 1 CDS
KP0228_00213,0.021541081311196253,hypothetical protein CDS
KP0228_00220,0.021541081311196253,bdhA CDS
KP0228_00227,0.021541081311196253,acrB 1 CDS
KP0228_00231,0.021541081311196253,rstB 1 (crrB) CDS
KP0228_00249,0.021541081311196253,hypothetical protein CDS
KP0228_00257,0.021541081311196253,hypothetical protein CDS
KP0228_00259,0.021541081311196253,hypothetical protein CDS
KP0228_00264,0.021541081311196253,ybbH CDS
KP0228_00266,0.021541081311196253,feuC CDS
KP0228_00268,0.021541081311196253,yusV CDS
KP0228_00285,0.021541081311196253,mhpB CDS
KP0228_00292,0.021541081311196253,ydiB 1 CDS
KP0228_00301,0.021541081311196253,sufS CDS
KP0228_00303,0.021541081311196253,sufC CDS
KP0228_00318,0.021541081311196253,mdtH 1 CDS
KP0228_00327,0.021541081311196253,ppsA CDS
KP0228_00355,0.021541081311196253,yceI CDS
KP0228_00367,0.021541081311196253,tdk CDS
KP0228_00381,0.021541081311196253,narG CDS
KP0228_00383,0.021541081311196253,narX CDS
KP0228_00384,0.021541081311196253,narL CDS
KP0228_00385,0.021541081311196253,Invasin CDS
KP0228_00396,0.021541081311196253,chaA CDS
KP0228_00411,0.021541081311196253,hypothetical protein CDS
KP0228_00417,0.021541081311196253,hypothetical protein CDS
KP0228_00443,0.021541081311196253,hypothetical protein CDS
KP0228_00444,0.021541081311196253,hypothetical protein CDS
KP0228_00449,0.021541081311196253,ais CDS
KP0228_00457,0.021541081311196253,livH 1 CDS
KP0228_00458,0.021541081311196253,livH 2 CDS
KP0228_00460,0.021541081311196253,tdcE CDS
KP0228_00477,0.021541081311196253,dadX CDS
KP0228_00480,0.021541081311196253,fadR 1 CDS
KP0228_00482,0.021541081311196253,dsbB CDS
KP0228_00492,0.021541081311196253,slp CDS
KP0228_00493,0.021541081311196253,tsaB CDS
KP0228_00494,0.021541081311196253,dinG 1 CDS
KP0228_00497,0.021541081311196253,pabB CDS
KP0228_00498,0.021541081311196253,nudL CDS
KP0228_00500,0.021541081311196253,adrB 1 CDS
KP0228_00501,0.021541081311196253,corC 1 CDS
KP0228_00502,0.021541081311196253,manX 1 CDS
KP0228_00507,0.021541081311196253,rlmA CDS
KP0228_00510,0.021541081311196253,hypothetical protein CDS
KP0228_00511,0.021541081311196253,hypothetical protein CDS
KP0228_00520,0.021541081311196253,rsmF CDS
KP0228_00526,0.021541081311196253,hypothetical protein CDS
KP0228_00531,0.021541081311196253,ptrB CDS
KP0228_00532,0.021541081311196253,yebE CDS
KP0228_00534,0.021541081311196253,purT CDS
KP0228_00535,0.021541081311196253,eda CDS
KP0228_00538,0.021541081311196253,hexR 1 CDS
KP0228_00541,0.021541081311196253,mepM 1 CDS
KP0228_00545,0.021541081311196253,ruvB CDS
KP0228_00555,0.021541081311196253,cmoB CDS
KP0228_00568,0.021541081311196253,uidB 2 CDS
KP0228_00574,0.021541081311196253,tyrP 1 CDS
KP0228_00582,0.021541081311196253,uvrY CDS
KP0228_00585,0.021541081311196253,artM 1 CDS
KP0228_00587,0.021541081311196253,dcyD CDS
KP0228_00590,0.021541081311196253,hypothetical protein CDS
KP0228_00591,0.021541081311196253,rcsA CDS
KP0228_00595,0.021541081311196253,yedI CDS
KP0228_00599,0.021541081311196253,hypothetical protein CDS
KP0228_00600,0.021541081311196253,yedR CDS
KP0228_00603,0.021541081311196253,mtfA CDS
KP0228_00607,0.021541081311196253,hypothetical protein CDS
KP0228_00647,0.021541081311196253,hypothetical protein CDS
KP0228_00650,0.021541081311196253,pchR 1 CDS
KP0228_00653,0.021541081311196253,hypothetical protein CDS
KP0228_00699,0.021541081311196253,hypothetical protein CDS
KP0228_00702,0.021541081311196253,amn CDS
KP0228_00736,0.021541081311196253,gcvA 2 CDS
KP0228_00742,0.021541081311196253,yhjE 1 CDS
KP0228_00758,0.021541081311196253,fusA 1 CDS
KP0228_00763,0.021541081311196253,hisG CDS
KP0228_00787,0.021541081311196253,ugd CDS
KP0228_00805,0.021541081311196253,udk CDS
KP0228_00806,0.021541081311196253,alkA CDS
KP0228_00807,0.021541081311196253,dnaK 1 CDS
KP0228_00810,0.021541081311196253,hypothetical protein CDS
KP0228_00812,0.021541081311196253,dctA 1 CDS
KP0228_00815,0.021541081311196253,mdtC CDS
KP0228_00820,0.021541081311196253,yegS CDS
KP0228_00824,0.021541081311196253,ddpB CDS
KP0228_00826,0.021541081311196253,gci CDS
KP0228_00828,0.021541081311196253,csbX 1 CDS
KP0228_00831,0.021541081311196253,lsrR 1 CDS
KP0228_00837,0.021541081311196253,thiD CDS
KP0228_00842,0.021541081311196253,adeQ CDS
KP0228_00850,0.021541081311196253,yehU CDS
KP0228_00852,0.021541081311196253,yehW CDS
KP0228_00855,0.021541081311196253,yehZ CDS
KP0228_00856,0.021541081311196253,Beta-glucosidase BoGH3B CDS
KP0228_00860,0.021541081311196253,yohC CDS
KP0228_00864,0.021541081311196253,bglF 1 CDS
KP0228_00868,0.021541081311196253,cidA 1 CDS
KP0228_00872,0.021541081311196253,mglC CDS
KP0228_00880,0.021541081311196253,lysP CDS
KP0228_00882,0.021541081311196253,hypothetical protein CDS
KP0228_00885,0.021541081311196253,lacC 1 CDS
KP0228_00886,0.021541081311196253,fruB 1 CDS
KP0228_00893,0.021541081311196253,lpxT CDS
KP0228_00898,0.021541081311196253,yejE CDS
KP0228_00899,0.021541081311196253,gsiA 2 CDS
KP0228_00904,0.021541081311196253,rplY CDS
KP0228_00908,0.021541081311196253,glcR 1 CDS
KP0228_00909,0.021541081311196253,yejK CDS
KP0228_00910,0.021541081311196253,hypothetical protein CDS
KP0228_00911,0.021541081311196253,yejM CDS
KP0228_00914,0.021541081311196253,eco CDS
KP0228_00916,0.021541081311196253,dauA 2 CDS
KP0228_00923,0.021541081311196253,rcsD CDS
KP0228_00925,0.021541081311196253,rcsC CDS
KP0228_00933,0.021541081311196253,glpA CDS
KP0228_00947,0.021541081311196253,menB CDS
KP0228_00949,0.021541081311196253,menD CDS
KP0228_00965,0.021541081311196253,ndhC CDS
KP0228_00969,0.021541081311196253,sdcS CDS
KP0228_00973,0.021541081311196253,ackA CDS
KP0228_00974,0.021541081311196253,pta CDS
KP0228_00999,0.021541081311196253,fabB CDS
KP0228_01009,0.021541081311196253,fadJ CDS
KP0228_01019,0.021541081311196253,guaD 1 CDS
KP0228_01020,0.021541081311196253,yycB CDS
KP0228_01021,0.021541081311196253,alaC CDS
KP0228_01022,0.021541081311196253,ypdA CDS
KP0228_01026,0.021541081311196253,ipdC CDS
KP0228_01044,0.021541081311196253,ligA CDS
KP0228_01046,0.021541081311196253,cysZ CDS
KP0228_01059,0.021541081311196253,cysP CDS
KP0228_01073,0.021541081311196253,mdh 1 CDS
KP0228_01086,0.021541081311196253,hypothetical protein CDS
KP0228_01089,0.021541081311196253,acrB 2 CDS
KP0228_01204,0.021541081311196253,Outer membrane protein Omp38 CDS
KP0228_01223,0.021541081311196253,Acetyltransferase Pat CDS
KP0228_01240,0.021541081311196253,era CDS
KP0228_01258,0.021541081311196253,lapB 1 CDS
KP0228_01272,0.021541081311196253,hscB CDS
KP0228_01281,0.021541081311196253,pbpC CDS
KP0228_01336,0.021541081311196253,rob 2 CDS
KP0228_01346,0.021541081311196253,novR CDS
KP0228_01357,0.021541081311196253,fimD 2 CDS
KP0228_01362,0.021541081311196253,dmlR 5 CDS
KP0228_01403,0.021541081311196253,mntA 2 CDS
KP0228_01419,0.021541081311196253,hypF CDS
KP0228_01423,0.021541081311196253,bglH 1 CDS
KP0228_01427,0.021541081311196253,hycG CDS
KP0228_01435,0.021541081311196253,hypB CDS
KP0228_01451,0.021541081311196253,mntB 5 CDS
KP0228_01456,0.021541081311196253,ilvI 1 CDS
KP0228_01458,0.021541081311196253,putative hemoglobin and hemoglobin-haptoglobin-binding protein 2 CDS
KP0228_01465,0.021541081311196253,mutS CDS
KP0228_01500,0.021541081311196253,garK 1 CDS
KP0228_01520,0.021541081311196253,msuD 2 CDS
KP0228_01521,0.021541081311196253,zraR 1 CDS
KP0228_01534,0.021541081311196253,csdA CDS
KP0228_01535,0.021541081311196253,csdE CDS
KP0228_01559,0.021541081311196253,cbiA CDS
KP0228_01590,0.021541081311196253,recC CDS
KP0228_01623,0.021541081311196253,cytR 1 CDS
KP0228_01625,0.021541081311196253,kduD 1 CDS
KP0228_01626,0.021541081311196253,ogl CDS
KP0228_01639,0.021541081311196253,mrkD 1 CDS
