LOCUS_TAG,p_vals,GENE
mgrB,0,mgrB CDS
KP0228_00231,6.550933508020496e-5,rstB 1 (crrB) CDS
KP0228_03376,4.913200131018147e-4,hypothetical protein CDS
KP0228_02222,0.0013429413691451453,malT CDS
KP0228_02534,0.0013429413691451453,dgoD CDS
KP0228_02672,0.0013429413691451453,gldA 1 CDS
KP0228_03192,0.0013429413691451453,hypothetical protein CDS
KP0228_03198,0.0013429413691451453,lacY 3 CDS
KP0228_04175,0.0013429413691451453,hypothetical protein CDS
KP0228_04196,0.0013429413691451453,D-threonine aldolase CDS
KP0228_00651,0.0025548640681296586,angR CDS
KP0228_00798,0.0025548640681296586,hypothetical protein CDS
KP0228_00799,0.0025548640681296586,hypothetical protein CDS
KP0228_00822,0.0025548640681296586,oppD 2 CDS
KP0228_00916,0.0025548640681296586,dauA 2 CDS
KP0228_01619,0.0025548640681296586,hypothetical protein CDS
KP0228_03346,0.0025548640681296586,manP CDS
KP0228_04336,0.0025548640681296586,gltC 5 CDS
KP0228_00089,0.005339010809040312,prr CDS
KP0228_00108,0.005339010809040312,tehA CDS
KP0228_00219,0.005339010809040312,hypothetical protein CDS
KP0228_00289,0.005339010809040312,putative ABC transporter permease protein CDS
KP0228_00303,0.005339010809040312,sufC CDS
KP0228_00384,0.005339010809040312,narL CDS
KP0228_00515,0.005339010809040312,prc CDS
KP0228_00656,0.005339010809040312,fyuA CDS
KP0228_00787,0.005339010809040312,ugd CDS
KP0228_00884,0.005339010809040312,fruA 1 CDS
KP0228_00895,0.005339010809040312,adrB 2 CDS
KP0228_01223,0.005339010809040312,Acetyltransferase Pat CDS
KP0228_01520,0.005339010809040312,msuD 2 CDS
KP0228_01901,0.005339010809040312,hdeB 2 CDS
KP0228_02559,0.005339010809040312,pstB CDS
KP0228_02668,0.005339010809040312,hypothetical protein CDS
KP0228_02881,0.005339010809040312,hypothetical protein CDS
KP0228_03031,0.005339010809040312,glpR 4 CDS
